index year month day hour minute second azi_deg azi_min azi_sec pol_deg pol_min pol_sec size_deg size_min size_sec
76 0 2 1 5 59 21.01 110 16 52.12 -16 45 54.36 0 30 17.02
77 0 2 1 14 19 21.01 -113 14 4.09 -19 29 26.61 0 30 9.97
78 0 2 1 22 39 21.01 9 40 46.66 57 24 36.43 0 30 3.50
79 0 2 2 6 59 21.01 121 35 50.99 -26 28 53.35 0 29 57.35
80 0 2 2 15 19 21.01 -104 6 48.27 -8 17 7.18 0 29 51.83
81 0 2 2 23 39 21.01 34 14 44.81 53 50 2.13 0 29 46.87
82 0 2 3 7 59 21.01 135 2 5.62 -34 46 34.83 0 29 42.27
83 0 2 3 16 19 21.01 -95 52 37.42 3 16 19.03 0 29 38.34
84 0 2 4 0 39 21.01 53 24 23.51 46 37 38.01 0 29 34.93
85 0 2 4 8 59 21.01 151 12 21.37 -40 53 0.22 0 29 31.92
86 0 2 4 17 19 21.01 -87 50 45.02 14 56 47.68 0 29 29.60
87 0 2 5 1 39 21.01 67 46 55.71 37 23 15.43 0 29 27.78
88 0 2 5 9 59 21.01 169 51 3.10 -43 54 23.42 0 29 26.39
89 0 2 5 18 19 21.01 -79 20 7.66 26 32 11.66 0 29 25.71
90 0 2 6 2 39 21.01 79 9 38.11 27 8 29.29 0 29 25.48
91 0 2 6 10 59 21.01 -170 46 32.00 -43 14 11.84 0 29 25.72
92 0 2 6 19 19 21.01 -69 26 54.21 37 47 42.90 0 29 26.67
93 0 2 7 3 39 21.01 88 56 24.43 16 27 59.39 0 29 28.05
94 0 2 7 11 59 21.01 -153 1 8.11 -39 0 55.53 0 29 29.92
95 0 2 7 20 19 21.01 -56 44 24.35 48 18 27.70 0 29 32.49
96 0 2 8 4 39 21.01 98 4 58.67 5 43 23.71 0 29 35.45
97 0 2 8 12 59 21.01 -138 6 30.39 -32 0 34.51 0 29 38.94
98 0 2 8 21 19 21.01 -38 46 10.00 57 13 40.76 0 29 43.10
99 0 2 9 5 39 21.01 107 19 11.12 -4 48 2.56 0 29 47.61
100 0 2 9 13 59 21.01 -125 54 54.09 -23 5 3.35 0 29 52.69
101 0 2 9 22 19 21.01 -12 47 52.75 62 50 20.32 0 29 58.38
102 0 2 10 6 39 21.01 117 18 34.21 -14 47 56.39 0 30 4.41
103 0 2 10 14 59 21.01 -115 44 24.54 -12 54 6.17 0 30 11.01
104 0 2 10 23 19 21.01 18 20 2.98 62 55 42.13 0 30 18.18
105 0 2 11 7 39 21.01 128 43 41.55 -23 52 6.42 0 30 25.64
106 0 2 11 15 59 21.01 -106 50 33.37 -1 54 9.64 0 30 33.69
107 0 2 12 0 19 21.01 44 44 35.19 57 25 8.44 0 30 42.22
108 0 2 12 8 39 21.01 142 14 30.87 -31 26 0.95 0 30 51.02
109 0 2 12 16 59 21.01 -98 33 39.99 9 37 12.56 0 31 0.38
110 0 2 13 1 19 21.01 63 13 47.85 48 28 49.54 0 31 10.14
111 0 2 13 9 39 21.01 158 13 58.25 -36 42 49.06 0 31 20.12
112 0 2 13 17 59 21.01 -90 15 0.30 21 26 49.65 0 31 30.63
113 0 2 14 2 19 21.01 76 29 24.85 37 52 29.17 0 31 41.41
114 0 2 14 10 39 21.01 176 13 13.64 -38 51 37.26 0 31 52.36
115 0 2 14 18 59 21.01 -81 6 54.02 33 21 38.40 0 32 3.78
116 0 2 15 3 19 21.01 87 2 35.34 26 29 52.05 0 32 15.33
117 0 2 15 11 39 21.01 -165 25 56.58 -37 21 30.38 0 32 26.99
118 0 2 15 19 59 21.01 -69 52 56.53 45 2 39.14 0 32 39.01
119 0 2 16 4 19 21.01 96 25 5.15 14 49 17.03 0 32 50.99
120 0 2 16 12 39 21.01 -148 37 2.26 -32 22 28.86 0 33 3.02
121 0 2 16 20 59 21.01 -54 4 50.87 55 51 5.29 0 33 15.25
122 0 2 17 5 19 21.01 105 36 20.91 3 10 29.42 0 33 27.27
123 0 2 17 13 39 21.01 -134 14 36.37 -24 36 8.17 0 33 39.23
124 0 2 17 21 59 21.01 -29 4 24.79 64 11 20.60 0 33 51.22
125 0 2 18 6 19 21.01 115 24 0.28 -8 6 36.25 0 34 2.80
126 0 2 18 14 39 21.01 -122 9 16.42 -14 49 47.16 0 34 14.20
127 0 2 18 22 59 21.01 7 10 42.02 66 45 40.41 0 34 25.41
128 0 2 19 7 19 21.01 126 35 9.32 -18 35 41.14 0 34 36.02
129 0 2 19 15 39 21.01 -111 43 1.60 -3 41 52.25 0 34 46.32
130 0 2 19 23 59 21.01 40 41 32.98 61 41 18.17 0 34 56.19
131 0 2 20 8 19 21.01 139 59 8.70 -27 37 51.04 0 35 5.26
132 0 2 20 16 39 21.01 -102 12 7.27 8 19 13.75 0 35 13.91
133 0 2 21 0 59 21.01 62 28 8.06 51 49 1.55 0 35 21.87
134 0 2 21 9 19 21.01 156 13 20.98 -34 17 11.73 0 35 28.90
135 0 2 21 17 39 21.01 -92 50 50.10 20 51 16.55 0 35 35.36
136 0 2 22 1 59 21.01 76 51 33.29 39 55 57.20 0 35 40.92
137 0 2 22 10 19 21.01 175 0 22.31 -37 28 0.17 0 35 45.44
138 0 2 22 18 39 21.01 -82 42 39.30 33 33 1.26 0 35 49.30
139 0 2 23 2 59 21.01 87 51 2.28 27 17 46.64 0 35 52.08
140 0 2 23 11 19 21.01 -165 29 15.70 -36 25 51.60 0 35 53.80
141 0 2 23 19 39 21.01 -70 16 53.74 45 56 36.07 0 35 54.78
142 0 2 24 3 59 21.01 97 29 57.75 14 31 12.20 0 35 54.59
143 0 2 24 12 19 21.01 -147 38 55.56 -31 21 34.19 0 35 53.37
