index year month day hour minute second azi_deg azi_min azi_sec pol_deg pol_min pol_sec size_deg size_min size_sec
77 0 2 2 3 23 2.08 83 50 55.30 21 31 0.91 0 35 7.86
78 0 2 2 11 43 2.08 -160 32 14.79 -42 0 24.97 0 35 16.84
79 0 2 2 20 3 2.08 -61 32 14.00 43 24 44.29 0 35 25.40
80 0 2 3 4 23 2.08 93 43 23.11 8 58 32.30 0 35 33.06
81 0 2 3 12 43 2.08 -141 47 54.92 -35 51 25.26 0 35 39.94
82 0 2 3 21 3 2.08 -42 58 9.72 53 28 0.12 0 35 46.21
83 0 2 4 5 23 2.08 103 28 9.17 -3 33 7.99 0 35 51.40
84 0 2 4 13 43 2.08 -126 32 13.23 -26 43 48.11 0 35 55.73
85 0 2 4 22 3 2.08 -16 9 7.06 59 48 37.02 0 35 59.31
86 0 2 5 6 23 2.08 114 1 31.39 -15 38 10.70 0 36 1.67
87 0 2 5 14 43 2.08 -114 6 14.11 -15 44 15.37 0 36 3.17
88 0 2 5 23 3 2.08 15 54 6.68 59 47 47.90 0 36 3.79
89 0 2 6 7 23 2.08 126 23 49.24 -26 42 40.50 0 36 3.16
90 0 2 6 15 43 2.08 -103 27 27.88 -3 40 38.32 0 36 1.72
91 0 2 7 0 3 2.08 42 46 49.03 53 24 57.28 0 35 59.34
92 0 2 7 8 23 2.08 141 41 16.96 -35 56 13.93 0 35 55.76
93 0 2 7 16 43 2.08 -93 37 53.14 8 54 7.98 0 35 51.46
94 0 2 8 1 3 2.08 61 27 53.05 43 18 34.28 0 35 46.23
95 0 2 8 9 23 2.08 160 36 19.66 -42 7 5.37 0 35 39.93
96 0 2 8 17 43 2.08 -83 42 35.43 21 34 36.92 0 35 33.06
97 0 2 9 2 3 2.08 74 54 33.16 31 33 37.52 0 35 25.32
98 0 2 9 10 23 2.08 -177 52 5.84 -44 0 3.69 0 35 16.73
99 0 2 9 18 43 2.08 -72 37 9.04 33 55 37.40 0 35 7.71
100 0 2 10 3 3 2.08 85 42 39.20 19 13 41.79 0 34 57.94
101 0 2 10 11 23 2.08 -156 53 59.10 -41 9 39.59 0 34 47.56
102 0 2 10 19 43 2.08 -58 46 24.23 45 22 40.62 0 34 36.92
103 0 2 11 4 3 2.08 95 25 39.80 6 52 53.59 0 34 25.67
104 0 2 11 12 23 2.08 -139 11 24.14 -34 26 14.46 0 34 14.07
105 0 2 11 20 43 2.08 -39 40 26.31 54 54 14.23 0 34 2.36
106 0 2 12 5 3 2.08 105 4 48.55 -5 5 7.30 0 33 50.21
107 0 2 12 13 23 2.08 -125 7 37.48 -25 9 54.31 0 33 37.94
108 0 2 12 21 43 2.08 -12 55 52.74 60 36 59.93 0 33 25.70
109 0 2 13 6 3 2.08 115 29 59.46 -16 17 39.33 0 33 13.18
110 0 2 13 14 23 2.08 -113 49 21.46 -14 25 11.15 0 33 0.77
111 0 2 13 22 43 2.08 17 53 52.57 60 24 38.16 0 32 48.48
112 0 2 14 7 3 2.08 127 29 56.47 -26 16 33.17 0 32 36.08
113 0 2 14 15 23 2.08 -104 15 1.27 -2 53 25.52 0 32 23.96
114 0 2 14 23 43 2.08 43 34 40.97 54 36 56.36 0 32 12.06
115 0 2 15 8 3 2.08 141 50 42.32 -34 22 48.62 0 32 0.18
116 0 2 15 16 23 2.08 -95 33 20.08 8 59 46.50 0 31 48.72
117 0 2 16 0 43 2.08 61 42 25.45 45 35 19.72 0 31 37.53
118 0 2 16 9 3 2.08 158 52 36.13 -39 45 34.53 0 31 26.50
119 0 2 16 17 23 2.08 -86 59 36.26 20 56 57.85 0 31 15.99
120 0 2 17 1 43 2.08 74 52 59.84 35 7 24.04 0 31 5.78
121 0 2 17 10 3 2.08 177 45 33.73 -41 35 41.88 0 30 55.85
122 0 2 17 18 23 2.08 -77 45 21.04 32 43 2.36 0 30 46.51
123 0 2 18 2 43 2.08 85 26 5.38 24 7 48.89 0 30 37.49
124 0 2 18 11 3 2.08 -163 37 41.96 -39 35 59.68 0 30 28.84
125 0 2 18 19 23 2.08 -66 41 44.64 43 59 10.57 0 30 20.82
126 0 2 19 3 43 2.08 94 46 32.38 13 5 5.93 0 30 13.14
127 0 2 19 12 3 2.08 -147 15 49.78 -34 16 34.71 0 30 5.91
128 0 2 19 20 23 2.08 -51 50 45.07 54 12 9.95 0 29 59.33
129 0 2 20 4 43 2.08 103 48 10.99 2 17 53.47 0 29 53.09
130 0 2 20 13 3 2.08 -133 45 43.65 -26 32 4.11 0 29 47.38
131 0 2 20 21 23 2.08 -29 57 8.74 62 11 14.38 0 29 42.31
132 0 2 21 5 43 2.08 113 11 25.21 -7 57 12.36 0 29 37.59
133 0 2 21 14 3 2.08 -122 42 41.47 -17 12 29.54 0 29 33.45
134 0 2 21 22 23 2.08 0 49 31.32 65 43 0.09 0 29 29.94
135 0 2 22 6 43 2.08 123 32 13.13 -17 20 57.01 0 29 26.79
136 0 2 22 15 3 2.08 -113 24 17.57 -6 53 15.32 0 29 24.26
137 0 2 22 23 23 2.08 32 22 40.89 63 6 8.00 0 29 22.33
138 0 2 23 7 43 2.08 135 24 23.66 -25 27 51.26 0 29 20.78
139 0 2 23 16 3 2.08 -105 10 34.38 4 2 39.60 0 29 19.89
140 0 2 24 0 23 2.08 55 24 32.96 55 50 44.44 0 29 19.56
141 0 2 24 8 43 2.08 149 12 56.15 -31 44 3.04 0 29 19.61
142 0 2 24 17 3 2.08 -97 26 26.53 15 20 5.17 0 29 20.36
143 0 2 25 1 23 2.08 70 59 48.15 46 19 13.50 0 29 21.62
144 0 2 25 9 43 2.08 164 55 2.98 -35 30 3.31 0 29 23.29
145 0 2 25 18 3 2.08 -89 36 49.53 26 47 44.59 0 29 25.66
146 0 2 26 2 23 2.08 82 29 56.98 35 50 20.35 0 29 28.49
147 0 2 26 10 43 2.08 -178 20 33.73 -36 13 7.12 0 29 31.77
148 0 2 26 19 3 2.08 -80 56 48.50 38 14 41.13 0 29 35.73
149 0 2 27 3 23 2.08 92 0 45.95 25 0 42.14 0 29 40.11
150 0 2 27 11 43 2.08 -162 2 4.27 -33 44 54.15 0 29 44.96
151 0 2 27 20 3 2.08 -70 11 6.59 49 25 9.06 0 29 50.47
152 0 2 28 4 23 2.08 100 43 29.72 14 10 20.95 0 29 56.35
153 0 2 28 12 43 2.08 -147 23 32.17 -28 26 39.86 0 30 2.71
154 0 2 28 21 3 2.08 -54 44 58.63 59 46 7.62 0 30 9.70
155 0 2 29 5 23 2.08 109 24 25.21 3 34 20.42 0 30 17.01
